,id,address,province,location,location_aed,latitude,longitude,available,hours,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
10918,12642,molenstraat,oost-vlaanderen,In toonzaal - Gelijkvloers,"molenstraat,9550.0,herzele,Belgium",50.8784611,3.903763,Non-Nee,Tijdens de openingsuren: ma-vr van 8u tot 12u en van 13u tot 18u - Za van 8u tot 12u en van 13u tot 17u,,,,,,,
10919,12643,georges coornaertdreef,west-vlaanderen,Gevel serviceflat De Coorenblomme,"georges coornaertdreef,8792.0,desselgem,Belgium",50.8864204,3.3570212,Oui-Ja,,,,,,,,
10920,12644,lange ridderstraat ,antwerpen,ingang leercentrum. Lange Ridderstraat 44 (Augustijnenstraat 120),"lange ridderstraat ,2800.0,mechelen,Belgium",51.025196,4.4845424,Oui-Ja,,,,,,,,
10921,12645,europalaan ,oost-vlaanderen,Sporthal,"europalaan ,9880.0,aalter,Belgium",51.0869652,3.4430079,Non-Nee,7 tot 19 u,,,,,,,
10922,12646,zandpoortvest ,antwerpen,onthaal,"zandpoortvest ,2800.0,mechelen,Belgium",51.0259408,4.4889799,Non-Nee,,,,,,,,
10923,12647,kronenburgstraat,antwerpen,Inkom onthaal,"kronenburgstraat,2018.0,antwerpen,Belgium",51.2120287,4.3974974,Non-Nee,,,,,,,,
10924,12648,rue des drapiers,bruxelles-brussel,5ième étage - couloir,"rue des drapiers,1050.0,ixelles,Belgium",50.8351858,4.3593514,Non-Nee,,,,,,,,
10925,12649,rue des drapiers,bruxelles-brussel,4e verdieping trappenhal,"rue des drapiers,1050.0,ixelles,Belgium",50.8351858,4.3593514,Non-Nee,,,,,,,,
10926,12650,chrysantenlaan,vlaams-brabant,ingang,"chrysantenlaan,1850.0,grimbergen,Belgium",50.9398638,4.3584272,Non-Nee,,,,,,,,
10927,12651,omer de bruyckerstraat ,oost-vlaanderen,"Ingang rechts, bij de toiletten","omer de bruyckerstraat ,9060.0,zelzate,Belgium",51.1984892,3.7967433,Non-Nee,,,,,,,,
10928,12652,suikerkaai,oost-vlaanderen,"Buitengevel, restaurant","suikerkaai,9060.0,zelzate,Belgium",51.1930291,3.8079368,Oui-Ja,,,,,,,,
10929,12653,zwaluwlaan ,oost-vlaanderen,In het bureau,"zwaluwlaan ,9185.0,wachtebeke,Belgium",51.1649792,3.847581,Non-Nee,,,,,,,,
10930,12654,edegemsesteenweg ,antwerpen,"Gelijkvloers, inkom achter valse deuren.","edegemsesteenweg ,2610.0,wilrijk,Belgium",51.1637672,4.4105981,Non-Nee,,,,,,,,
10931,12655,oude graanmarkt,bruxelles-brussel,Aan het onthaal ,"oude graanmarkt,1000.0,brussel,Belgium",50.8499556,4.3465615,Non-Nee,,,,,,,,
10932,12656,koning albertstraat ,west-vlaanderen,Buitengevel sporthal,"koning albertstraat ,8791.0,beveren,Belgium",50.8735027,3.3423489,Oui-Ja,,,,,,,,
10933,12657,anspachlaan ,bruxelles-brussel,lokaal achter de toog.,"anspachlaan ,1000.0,brussel,Belgium",50.8481132,4.3493962,Non-Nee,,,,,,,,
10934,12658,keizerslaan,bruxelles-brussel,Bij de ingang links (voor het onthaal),"keizerslaan,1000.0,brussel,Belgium",50.8430113,4.3531923,Non-Nee,,,,,,,,
10935,12659,leenriestraat ,west-vlaanderen,Buitenkant gebouw naast de trap.,"leenriestraat ,8791.0,beveren-leie,Belgium",50.8725322,3.3543,Oui-Ja,,,,,,,,
10936,12660,everdongenlaan ,antwerpen,in refter,"everdongenlaan ,2300.0,turnhout,Belgium",51.3001144,4.9411369,Non-Nee,,,,,,,,
10937,12661,tieblokkenlaan ,antwerpen,in refter,"tieblokkenlaan ,2300.0,turnhout,Belgium",51.3019231,4.9276161,Non-Nee,,,,,,,,
10938,12662,"zuiderpoort, gebouw esplanade, gaston crommenlaan ",oost-vlaanderen,2e verdieping,"zuiderpoort, gebouw esplanade, gaston crommenlaan ,9000.0,gent,Belgium",51.0363342,3.7349657,Non-Nee,,,,,,,,
10939,12663,rue delwart,bruxelles-brussel,ingang sportzaal,"rue delwart,1070.0,anderlecht,Belgium",50.8232414,4.2883644,Non-Nee,,,,,,,,
10940,12664,betekomsesteenweg ,vlaams-brabant,aan het onthaal,"betekomsesteenweg ,3200.0,aarschot,Belgium",50.9881411,4.823302,Non-Nee,,,,,,,,
10941,12665,ropsy chaudronstraat,bruxelles-brussel,Ingang Foodmet,"ropsy chaudronstraat,1070.0,anderlecht,Belgium",50.8437041,4.3280662,Non-Nee,,,,,,,,
10942,12666,ropsy chaudronstraat ,bruxelles-brussel,aan de receptie,"ropsy chaudronstraat ,1070.0,anderlecht,Belgium",50.8437041,4.3280662,Non-Nee,,,,,,,,
10943,12667,regentschapsstraat,bruxelles-brussel,"verdiep -1,BJB (bureau voor juridische bijstand)","regentschapsstraat,1000.0,brussel,Belgium",50.8399348,4.3562587,Non-Nee,,,,,,,,
10944,12670,wetstraat ,bruxelles-brussel,5e verd. tegenover zaal S5,"wetstraat ,1000.0,bruxelles,Belgium",50.84429,4.3748384,Non-Nee,,,,,,,,
10945,12671,nieuwstraat,vlaams-brabant,buitengevel gemeentehuis,"nieuwstraat,1785.0,merchtem,Belgium",50.9585888,4.2316171,Oui-Ja,,,,,,,,
10946,12672,diestsesteenweg ,vlaams-brabant,aan het onthaal,"diestsesteenweg ,3210.0,lubbeek,Belgium",50.8896316,4.7694714,Non-Nee,,,,,,,,
10947,12673,"koordekenshoef, haven",antwerpen,1e verdiep gang naar burelen.,"koordekenshoef, haven,2030.0,antwerpen,Belgium",51.2520204,4.3944587,Non-Nee,,,,,,,,
10948,12674,sint-laureinsesteenweg ,oost-vlaanderen,1e verdieping in EHBO-lokaal,"sint-laureinsesteenweg ,9900.0,eeklo,Belgium",51.2122859,3.5182286,Non-Nee,,,,,,,,
10949,12675,joseph possozplein ,vlaams-brabant,Buitengevel,"joseph possozplein ,1500.0,halle,Belgium",50.7360117,4.2384543,Oui-Ja,,,,,,,,
10950,12676,chaussee de stockel ,bruxelles-brussel,"bâtiment A, étage 1, hall et près de l aquarium","chaussee de stockel ,1200.0,woluwe saint lambert,Belgium",50.8410306,4.4470131,Non-Nee,ouverture de l école,,,,,,,
10951,12677,chaussee de stockel,bruxelles-brussel,"bâtiment B, RDC, hall de sport, couloir des vestiaires","chaussee de stockel,1200.0,woluwe saint lambert,Belgium",50.8410306,4.4470131,Non-Nee,heures ouvertures de l établissement (ou pour les club sportif),,,,,,,
10952,12678,rue cambier dupret,hainaut,Rez-de-chaussée - accueil planning Hall RER,"rue cambier dupret,6001.0,charleroi,Belgium",50.4042187,4.448818,Oui-Ja,,,,,,,,
10953,12679,rue cambier dupret,hainaut,Infirmerie AT Charleroi (Rez-de-Chaussée),"rue cambier dupret,6001.0,charleroi,Belgium",50.4042187,4.448818,Oui-Ja,,,,,,,,
